Datetime,Soil_Moisture_30cm
04/14/2011 02:00:00,0.391
04/14/2011 03:00:00,0.391
04/14/2011 04:00:00,0.393
04/14/2011 05:00:00,0.391
04/14/2011 06:00:00,0.392
04/14/2011 07:00:00,0.392
04/14/2011 08:00:00,0.392
04/14/2011 09:00:00,0.391
04/14/2011 10:00:00,0.391
04/14/2011 11:00:00,0.391
04/14/2011 12:00:00,0.391
04/14/2011 13:00:00,0.391
04/14/2011 14:00:00,0.391
04/14/2011 15:00:00,0.391
04/14/2011 16:00:00,0.391
04/14/2011 17:00:00,0.391
04/14/2011 18:00:00,0.391
04/14/2011 19:00:00,0.39
04/14/2011 20:00:00,0.392
04/14/2011 21:00:00,0.391
04/14/2011 22:00:00,0.391
04/14/2011 23:00:00,0.391
04/15/2011 00:00:00,0.391
04/15/2011 01:00:00,0.392
04/15/2011 02:00:00,0.392
04/15/2011 03:00:00,0.391
04/15/2011 04:00:00,0.391
04/15/2011 05:00:00,0.392
04/15/2011 06:00:00,0.392
04/15/2011 07:00:00,0.392
04/15/2011 08:00:00,0.391
04/15/2011 09:00:00,0.392
04/15/2011 10:00:00,0.391
04/15/2011 11:00:00,0.392
04/15/2011 12:00:00,0.39
04/15/2011 13:00:00,0.389
04/15/2011 14:00:00,0.39
04/15/2011 15:00:00,0.392
04/15/2011 16:00:00,0.39
04/15/2011 17:00:00,0.389
04/15/2011 18:00:00,0.392
04/15/2011 19:00:00,0.392
04/15/2011 20:00:00,0.39
04/15/2011 21:00:00,0.392
04/15/2011 22:00:00,0.39
04/15/2011 23:00:00,0.39
04/16/2011 00:00:00,0.39
04/16/2011 01:00:00,0.392
04/16/2011 02:00:00,0.391
04/16/2011 03:00:00,0.392
04/16/2011 04:00:00,0.392
04/16/2011 05:00:00,0.392
04/16/2011 06:00:00,0.393
04/16/2011 07:00:00,0.392
04/16/2011 08:00:00,0.394
04/16/2011 09:00:00,0.394
04/16/2011 10:00:00,0.394
04/16/2011 11:00:00,0.396
04/16/2011 12:00:00,0.396
04/16/2011 13:00:00,0.395
04/16/2011 14:00:00,0.396
04/16/2011 15:00:00,0.398
04/16/2011 16:00:00,0.398
04/16/2011 17:00:00,0.401
04/16/2011 18:00:00,0.403
04/16/2011 19:00:00,0.408
04/16/2011 20:00:00,0.41
04/16/2011 21:00:00,0.417
04/16/2011 22:00:00,0.435
04/16/2011 23:00:00,0.525
04/17/2011 00:00:00,0.557
04/17/2011 01:00:00,0.556
04/17/2011 02:00:00,0.557
04/17/2011 03:00:00,0.556
04/17/2011 04:00:00,0.556
04/17/2011 05:00:00,0.555
04/17/2011 06:00:00,0.555
04/17/2011 07:00:00,0.554
04/17/2011 08:00:00,0.554
04/17/2011 09:00:00,0.553
04/17/2011 10:00:00,0.553
04/17/2011 11:00:00,0.553
04/17/2011 12:00:00,0.553
04/17/2011 13:00:00,0.552
04/17/2011 14:00:00,0.552
04/17/2011 15:00:00,0.551
04/17/2011 16:00:00,0.551
04/17/2011 17:00:00,0.55
04/17/2011 18:00:00,0.549
04/17/2011 19:00:00,0.549
04/17/2011 20:00:00,0.55
04/17/2011 21:00:00,0.55
04/17/2011 22:00:00,0.549
